1341189,大白菜,1186,蔬菜,,,0.7,0.9,0.8,冀,,斤,2022-10-01 00:00:00,,138,,admin,,,
1341188,娃娃菜,1186,蔬菜,,,0.6,0.9,0.75,冀,大,斤,2022-10-01 00:00:00,,138,,admin,,,
1341187,小白菜,1186,蔬菜,,,0.4,0.5,0.45,冀,,斤,2022-10-01 00:00:00,,138,,admin,,,
1341186,圆白菜,1186,蔬菜,,,0.6,1.1,0.85,冀,,斤,2022-10-01 00:00:00,,138,,admin,,,
1341185,紫甘蓝,1186,蔬菜,,,1.3,1.5,1.4,冀,,斤,2022-10-01 00:00:00,,138,,admin,,,
1341184,芹菜,1186,蔬菜,,,0.8,1.3,1.05,冀京,,斤,2022-10-01 00:00:00,,138,,admin,,,
1341183,西芹,1186,蔬菜,,,2.0,2.2,2.1,冀,,斤,2022-10-01 00:00:00,,138,,admin,,,
1341182,菠菜,1186,蔬菜,,,1.0,1.5,1.25,冀蒙,,斤,2022-10-01 00:00:00,,138,,admin,,,
1341181,莴笋,1186,蔬菜,,,2.0,3.0,2.5,冀蒙,,斤,2022-10-01 00:00:00,,138,,admin,,,
1341180,团生菜,1186,蔬菜,,,0.8,1.2,1.0,冀,毛\净,斤,2022-10-01 00:00:00,,138,,admin,,,
1341179,散叶生菜,1186,蔬菜,,,1.5,2.8,2.15,冀辽,毛\箱,斤,2022-10-01 00:00:00,,138,,admin,,,
1341178,罗马生菜,1186,蔬菜,,,2.0,3.0,2.5,冀云,,斤,2022-10-01 00:00:00,,138,,admin,,,
1341177,油菜,1186,蔬菜,,,0.6,0.8,0.7,鲁京辽,大\小,斤,2022-10-01 00:00:00,,138,,admin,,,
1341176,香菜,1186,蔬菜,,,2.0,3.0,2.5,冀云辽,,斤,2022-10-01 00:00:00,,138,,admin,,,
1341175,茴香,1186,蔬菜,,,1.0,1.3,1.15,冀,,斤,2022-10-01 00:00:00,,138,,admin,,,
1341174,韭菜,1186,蔬菜,,,1.5,2.0,1.75,冀,,斤,2022-10-01 00:00:00,,138,,admin,,,
1341173,苦菊,1186,蔬菜,,,3.0,3.5,3.25,冀辽,,斤,2022-10-01 00:00:00,,138,,admin,,,
1341172,油麦菜,1186,蔬菜,,,1.0,1.5,1.25,冀辽云,,斤,2022-10-01 00:00:00,,138,,admin,,,
1341171,散菜花,1186,蔬菜,,,1.8,2.6,2.2,冀,,斤,2022-10-01 00:00:00,,138,,admin,,,
1341170,绿菜花,1186,蔬菜,,,1.8,2.4,2.1,冀,,斤,2022-10-01 00:00:00,,138,,admin,,,
1341169,绿豆芽,1186,蔬菜,,,0.95,1.0,0.98,,,斤,2022-10-01 00:00:00,,138,,admin,,,
1341168,黄豆芽,1186,蔬菜,,,0.85,0.9,0.88,,,斤,2022-10-01 00:00:00,,138,,admin,,,
1341167,番茄,1186,蔬菜,,,1.1,1.8,1.45,蒙冀鲁,黑框,斤,2022-10-01 00:00:00,,138,,admin,,,
1341166,番茄,1186,蔬菜,,,1.6,2.4,2.0,冀蒙,纸箱\泡沫箱,斤,2022-10-01 00:00:00,,138,,admin,,,
1341165,番茄,1186,蔬菜,,,2.2,2.8,2.5,蒙,白框,斤,2022-10-01 00:00:00,,138,,admin,,,
1341164,黄瓜,1186,蔬菜,,,0.7,1.1,0.9,鲁辽,袋\箱,斤,2022-10-01 00:00:00,,138,,admin,,,
1341163,黄瓜,1186,蔬菜,,,1.2,1.5,1.35,冀,鲜干花,斤,2022-10-01 00:00:00,,138,,admin,,,
1341162,小黄瓜,1186,蔬菜,,,2.8,3.0,2.9,辽鲁,旱\荷兰,斤,2022-10-01 00:00:00,,138,,admin,,,
1341161,茄子,1186,蔬菜,,,0.5,1.4,0.95,冀京鲁,,斤,2022-10-01 00:00:00,,138,,admin,,,
1341160,长茄,1186,蔬菜,,,0.8,1.8,1.3,冀晋辽,,斤,2022-10-01 00:00:00,,138,,admin,,,
1341159,线茄,1186,蔬菜,,,1.0,2.5,1.75,冀京,袋\箱,斤,2022-10-01 00:00:00,,138,,admin,,,
1341158,广茄,1186,蔬菜,,,0.8,1.5,1.15,冀京,,斤,2022-10-01 00:00:00,,138,,admin,,,
1341157,冬瓜,1186,蔬菜,,,0.7,0.9,0.8,冀豫辽,吊,斤,2022-10-01 00:00:00,,138,,admin,,,
